	　『まるごと』文法・文型リスト： 入門（理解）、初級1（理解）、初級2（理解）、初中級、中級1、中級2							Ver.2024/1/31
ＮＯ	見出し	教科書での形	分類	例文	教科書	トピック	課／PＡRT	JFSのトピック
329	～ないこともない	V‐ないこともない	可能・難易	1日で登れないこともないみたいだけど。	中級2	2　富士登山	2　ご来光はやっぱり見たいしね	6　旅行と交通
330	～ないわけにはいかない	V‐ないわけにはいかない	避けられない心情・行動	富士山に登ったら、日本最高点まで行かないわけにはいかないですよね？	中級2	2　富士登山	2　ご来光はやっぱり見たいしね	6　旅行と交通
331	～しかない	V‐るしかない	主張・断定的評価	それは、行くしかないよね。	中級2	2　富士登山	2　ご来光はやっぱり見たいしね	6　旅行と交通
332	～のはどう	V‐るのはどう（ですか）	勧誘・申し出・助言	レンタカー借りて、麓の観光地をまわるのはどう？	中級2	2　富士登山	2　ご来光はやっぱり見たいしね	6　旅行と交通
333	～に違いない	Ｎ／ナA‐／イA‐い／V（普通体）に違いない	推量	新鮮な空気を吸い込めば、身も心もリフレッシュできるに違いない。	中級2	2　富士登山	4　四季折々に楽しめる富士五湖	6　旅行と交通
334	～ほか	V‐るほか、～	付加	夏季はサマーゲレンデでスキー、スノーボードができるほか、マウンテンバイクなどのアウトドアレジャーが楽しめる。	中級2	2　富士登山	4　四季折々に楽しめる富士五湖	6　旅行と交通
335	～ことに	ナA‐な／イA‐い／V‐たことに、～	感嘆	（氷柱が）最も大きくなるのは、意外なことに、冬ではなく春から夏。	中級2	2　富士登山	4　四季折々に楽しめる富士五湖	6　旅行と交通
336	～ため	S（普通体）ため、～　※Nの／ナA‐な＋ため	原因・理由	洞窟内は一年中０～3度に保たれているため、冷蔵庫代わりに使われていた時代もある。	中級2	2　富士登山	4　四季折々に楽しめる富士五湖	6　旅行と交通
337	～なんて	V‐る／Ｖ‐ないなんて、～	軽重の強調	朝ご飯を食べないなんて、ダメ。	中級2	3　健康的な生活	2　どんなダイエットしてるの？	7　健康
338	～どころか	S（普通体）どころか、～　　※N／ナA‐＋どころか	対比	健康になるどころか、体壊しちゃうよ。	中級2	3　健康的な生活	2　どんなダイエットしてるの？	7　健康
339	～（の）は、～ことだ	N／ナA‐なの／イA‐いの／V（普通体）の＋は、～ことだ	勧誘・申し出・助言	大切なのは、栄養のバランスを考えながら、少しずつカロリーを減らすことだよ。	中級2	3　健康的な生活	2　どんなダイエットしてるの？	7　健康
340	～なんか	Nなんか～（ない）	軽重の強調	ダイエットなんか必要ないんじゃない？	中級2	3　健康的な生活	2　どんなダイエットしてるの？	7　健康
341	～たところ	V‐たところ、～	経過・結末	なんだか体調がよくないと友人に話したところ、……健康食品をすすめられた。	中級2	3　健康的な生活	4　本当に効くのかな？	7　健康
342	～っぽい	S（普通体）っぽい　　※N／ナA‐っぽい	推量	それ、マルチ商法っぽいね。	中級2	3　健康的な生活	4　本当に効くのかな？	7　健康
343	～わけじゃない	S（普通体）わけじゃない ※ナA‐なわけじゃない。名詞接続の場合は扱わない	部分否定	（ゲンキニールは）効き目がないわけじゃないけど、……	中級2	3　健康的な生活	4　本当に効くのかな？	7　健康
344	～くらいないなら	V‐るくらいなら、～	程度・比較	そんなの飲むくらいなら、その分いいメシを食え。	中級2	3　健康的な生活	4　本当に効くのかな？	7　健康
345	せっかく～から	せっかく（Sん）だから、～	原因・理由	せっかくドイツに来てるんだから、ドイツのオペラのほうがいいかなあ。 せっかくだから、ネクタイぐらいして行かれれば、……楽しめると思いますよ。	中級2	4　舞台を見るなら	2　楽しめると思いますよ	3　自由時間や娯楽
346	～にかぎる	N／V‐るにかぎる	程度・比較	こういうのはやっぱり地元のものを見るにかぎりますよね。	中級2	4　舞台を見るなら	2　楽しめると思いますよ	3　自由時間や娯楽
347	～（の）かわりに	Nの／V‐るかわりに	対比	紙のチケットを受け取るかわりに、……印刷して持って行けば、そのまま使えるんですよ。	中級2	4　舞台を見るなら	2　楽しめると思いますよ	3　自由時間や娯楽
348	～なんか	Nなんか	例示	若い人なんか、けっこうラフな格好の人もいますよ。	中級2	4　舞台を見るなら	2　楽しめると思いますよ	3　自由時間や娯楽
349	～には	V‐るには、～	目的	合格するには、専門のスクールに通って、バレエとか歌とかやらないと、まず無理ですね。	中級2	4　舞台を見るなら	4　とっても厳しい世界なんですよ	3　自由時間や娯楽
350	～うちに	Nの／ナＡ‐な／イA‐い／V‐る／Ｖ‐ないうちに、～	時間的前後	若いうちに将来有望と注目された人が、長い間努力してやっとなれるのがトップスターなんです。	中級2	4　舞台を見るなら	4　とっても厳しい世界なんですよ	3　自由時間や娯楽
351	～かどうか	S（普通体）かどうか～　　※N／ナA＋かどうか	対比	あなたがトップスターになれるかどうかなんて、誰にもわかりません。	中級2	4　舞台を見るなら	4　とっても厳しい世界なんですよ	3　自由時間や娯楽
352	～て（い）る場合じゃない	V‐て（い）る場合じゃない	勧誘・申し出・助言	本気でなりたいんだったら、こんなところで質問している場合じゃないと思います。	中級2	4　舞台を見るなら	4　とっても厳しい世界なんですよ	3　自由時間や娯楽
353	～せいで	S（普通体）せいで、～　※Nの／ナA‐な＋せいで	原因・理由	風が強かったせいで、その火が大きくなって、橋のほうにまで広がったらしいです。	中級2	5　身近なニュース	2　火事だそうですよ	14　社会
354	～によると	Nによると	手段・媒体	ニュースによると、工場は全部燃えて、けが人も10人以上出たそうですよ。	中級2	5　身近なニュース	2　火事だそうですよ	14　社会
355	～見込みだ	V‐る／Ｖ‐ない見込みだ	推量	通行止めは3週間くらいで解消される見込みだって言ってました。	中級2	5　身近なニュース	2　火事だそうですよ	14　社会
356	～に関する	N1に関するN2	対象	日本に関するコラムなどを配信している。	中級2	5　身近なニュース	4　外国人観光客向けアプリが話題に	14　社会
357	～といえば	Nといえば、～	話題	外国人の日本旅行といえば、有名観光地、伝統文化、日本料理やショッピングなどが定番だった。	中級2	5　身近なニュース	4　外国人観光客向けアプリが話題に	14　社会
358	～に対して	Nに対して	対象	外国人観光客に対して、新たな日本の魅力を伝えている。	中級2	5　身近なニュース	4　外国人観光客向けアプリが話題に	14　社会
359	～はもちろん、～も	N1はもちろん、N2も～	付加	有名観光地の情報はもちろん、……穴場の情報も配信される。	中級2	5　身近なニュース	4　外国人観光客向けアプリが話題に	14　社会
360	～てもらえない	V‐てもらえない	依頼・命令	たこ焼き器、買ってきてもらえない？	中級2	6　これが欲しい！	2　私、たこ焼き大好きなんだ	8　買い物
361	～てもらって（も）いい	V‐てもらって（も）いい	依頼・命令	「たこピック」っていうのも、いっしょに買ってきてもらってもいい？	中級2	6　これが欲しい！	2　私、たこ焼き大好きなんだ	8　買い物
362	さすがに	さすがに～（ない）	軽重の強調	でも、たこ焼き器はさすがにこっちじゃ売ってないから。	中級2	6　これが欲しい！	2　私、たこ焼き大好きなんだ	8　買い物
363	～って言っても	N（だ）／ナA‐（だ）／イA‐い／V（普通体）って言っても、～	逆接･譲歩	でも、たこ焼き器って言っても、いろいろ種類あるんじゃない？	中級2	6　これが欲しい！	2　私、たこ焼き大好きなんだ	8　買い物
364	～ぶん	S（普通体）ぶん、～　※ナA‐な／イA‐いぶん、名詞（N）の場合は除外	程度・比較	難点は、高温になるぶん、消費電力が大きいこと。	中級2	6　これが欲しい！	4　レビューの評判がよかったので･･･	8　買い物
365	～ている間／間に	V‐ている間（に）、～	時点・場面	たこ焼きを焼いている間、ほかの電気製品が使えず…。	中級2	6　これが欲しい！	4　レビューの評判がよかったので･･･	8　買い物
366	～そうになる	Vますそうになる	経過・結末	調理中にプレートが傾いて、やけどしそうになりました。	中級2	6　これが欲しい！	4　レビューの評判がよかったので･･･	8　買い物
367	～とのことだ	S（普通体）とのことだ  ※N（だ）／ナA（だ）＋とのことだ	伝聞・引用	ラッピングもしてくれるとのことでお願いしましたが、……	中級2	6　これが欲しい！	4　レビューの評判がよかったので･･･	8　買い物
368	～（って）感じ	N（だ）って／ナA‐（だ）って／イA‐い（って）／V（普通体)（って）感じ（だ）	主張・断定的評価	ストーリーがほとんどなかったって感じじゃない？	中級2	7　お気に入りの映画	2　個性的な演技がよかったよね	3　自由時間と娯楽
369	～（って）気がする	N（だ）って／ナA‐（だ）って／イA‐い（って）／V（普通体)（って）気がする	主張・断定的評価	見ててすごくリラックスできた気がする。	中級2	7　お気に入りの映画	2　個性的な演技がよかったよね	3　自由時間と娯楽
370	まるで～みたいだ／ようだ	まるでN／V（普通体）みたいだ まるでNの／V（普通体）ようだ	比況	まるで絵を見てるみたいで。	中級2	7　お気に入りの映画	2　個性的な演技がよかったよね	3　自由時間と娯楽
371	～ぐらい	V‐る／V‐ないぐらい、～	程度・比較	時間が短く感じるぐらい、映画の世界に入り込んでたのかなって思った。	中級2	7　お気に入りの映画	2　個性的な演技がよかったよね	3　自由時間と娯楽
372	～たとおり／～どおり	V‐たとおり／Nどおり、～	基準	期待したとおり、いい映画でした！ 評判どおりすばらしかったです。	中級2	7　お気に入りの映画	4　期待したとおり、いい映画でした！	3　自由時間と娯楽
373	～ながらも	N／ナA‐／イA‐い／V‐ますながらも、～	逆接･譲歩	もう石炭の時代ではないとわかっていながらも、炭鉱を守ろうと、……	中級2	7　お気に入りの映画	4　期待したとおり、いい映画でした！	3　自由時間と娯楽
374	～（よ）うとする	V‐（よ）うとする	意志	新しいものを受け入れようとする人々と、……	中級2	7　お気に入りの映画	4　期待したとおり、いい映画でした！	3　自由時間と娯楽
375	～ものだ	ナA‐な／イA‐い／V‐る／Ｖ‐ないものだ	主張・断定的評価	新しいものを受け入れようとする人々と、新しいものを認められない人々との対立は、いつの時代にもあるものだ。	中級2	7　お気に入りの映画	4　期待したとおり、いい映画でした！	3　自由時間と娯楽
376	お～です	おV‐ますです	敬意	何かお困りですか？	中級2	8　私の街の交通機関	2　今日は運休ですね	6　旅行と交通
377	～たつもりだ	V‐たつもりだ	意志（実際との不一致）	乗るときに、ちゃんと行き先を確かめて乗ったつもりなんですけどね。	中級2	8　私の街の交通機関	2　今日は運休ですね	6　旅行と交通
378	～ほど～ない	ＮほどナA‐じゃない／イA‐くない／V‐ない	程度・比較	日本の電車ほど正確じゃないんですよ。	中級2	8　私の街の交通機関	2　今日は運休ですね	6　旅行と交通
379	～たと思う	S（普通体＋過去形）と思う	推量	この週末は、ピカデリー線は工事してるので、動いてなかったと思いますよ。	中級2	8　私の街の交通機関	2　今日は運休ですね	6　旅行と交通
380	～一方（で）	ナA‐な／イA‐い／V（普通体）一方（で）、～	対比	日本人の健康を心配する意見もある一方、……という人も……	中級2	8　私の街の交通機関	4　日本の電車ってどう？	6　旅行と交通
381	一方（で）	S1。一方（で）Ｓ2。	対比	……。一方で、「正確すぎて違和感がある」という人も。	中級2	8　私の街の交通機関	4　日本の電車ってどう？	6　旅行と交通
382	～によって	Nによって	関連・対応	反応は国によっていろいろでした。	中級2	8　私の街の交通機関	4　日本の電車ってどう？	6　旅行と交通
383	とても（～ない）	とてもV‐（られ）ない	否定	安心して寝られるなんて、とても信じられない！	中級2	8　私の街の交通機関	4　日本の電車ってどう？	6　旅行と交通
384	～（ら）れる　＜受身＞	NにV‐（ら）れる	受身・使役受身	隣の人にいびきをかかれてイライラ	中級2	8　私の街の交通機関	4　日本の電車ってどう？	6　旅行と交通
385	～わけ（が）ない	Nの・な／ナA‐な／イA‐い／V（普通体）わけ（が）ない	否定	忍者が今の日本に本当にいるわけないでしょう。	中級2	9　忍者、侍、その頃は…	2　やっぱり忍者はいるに違いないよ	13　言語と文化
386	～じゃない	N／ナA‐／イA‐い／V（普通体）じゃない（ですか）	説明	忍術道場なら、アメリカにだってたくさんあるじゃない。	中級2	9　忍者、侍、その頃は…	2　やっぱり忍者はいるに違いないよ	13　言語と文化
387	～って	S（普通体）って、～	伝聞・引用	今でも忍者がいるって、本当ですか？	中級2	9　忍者、侍、その頃は…	2　やっぱり忍者はいるに違いないよ	13　言語と文化
388	～とはかぎらない	S（普通体）とはかぎらない	部分否定	まったく嘘だとはかぎらないよ。	中級2	9　忍者、侍、その頃は…	2　やっぱり忍者はいるに違いないよ	13　言語と文化
389	～において	Nにおいて	時点・場面	勝負において、信玄は、……おごりが出てくるのでよくないと考えていたという。	中級2	9　忍者、侍、その頃は…	4　心に残る戦国武将の名言	13　言語と文化
390	～であろう	Nであろう	推量	自分に厳しく強い向上心を持った人物だったのであろう。	中級2	9　忍者、侍、その頃は…	4　心に残る戦国武将の名言	13　言語と文化
391	～からといって	S（普通体）からといって、～（ない）	逆接･譲歩	謙信は相手が弱ったからといって、そこを攻めることはしなかった。	中級2	9　忍者、侍、その頃は…	4　心に残る戦国武将の名言	13　言語と文化
392	～にとって	Nにとって	判断の立場	時代は違っても、人間にとって大切なものは変わらないのかもしれない。	中級2	9　忍者、侍、その頃は…	4　心に残る戦国武将の名言	13　言語と文化
