	　『まるごと』文法・文型リスト： 入門（理解）、初級1（理解）、初級2（理解）、初中級、中級1、中級2							Ver.2024/1/31
ＮＯ	見出し	教科書での形	分類	例文	教科書	トピック	課／PＡRT	JFSのトピック
94	～に行く	V‐ますに行きます	目的	さくらを見に行きます。	初級1(りかい)	4　出かける	8　もう夜景を見に行きましたか	3　自由時間と娯楽
95	～は～が～	N1はN2がナA‐／イA‐いです	説明	スペイン語は単語が簡単です。	初級1(りかい)	5　外国語と外国文化	9　日本語は発音が簡単です	13　言語と文化 (12　学校と教育)
96	～は～のが～	NはV‐るのがナA‐／イA‐いです	説明	中国語は話すのがおもしろいです。	初級1(りかい)	5　外国語と外国文化	9　日本語は発音が簡単です	13　言語と文化 (12　学校と教育)
97	～てくださいませんか	V‐てくださいませんか	依頼・命令	このことばの意味を教えてくださいませんか。	初級1(りかい)	5　外国語と外国文化	9　日本語は発音が簡単です	13　言語と文化 (12　学校と教育)
98	～かた	V‐かた	手段・媒体	この漢字の読みかたが分かりません。	初級1(りかい)	5　外国語と外国文化	9　日本語は発音が簡単です	13　言語と文化 (12　学校と教育)
99	～たい／たくない	V‐ますたいです／たくないです	願望	翻訳の仕事を したいです。	初級1(りかい)	5　外国語と外国文化	10　いつか日本に行きたいです	13　言語と文化
100	～に～回（ぐらい）	週／月／年に～回 （ぐらい）	並列・反復	週に1回 フラメンコを習っています。	初級1(りかい)	5　外国語と外国文化	10　いつか日本に行きたいです	13　言語と文化
101	～てみる	V‐てみます	意図的行為	日本人と日本語で話してみます。	初級1(りかい)	5　外国語と外国文化	10　いつか日本に行きたいです	13　言語と文化
102	～ましょうか	V‐ましょうか	勧誘・申し出・助言	一緒に駅に行きましょうか。	初級1(りかい)	5　外国語と外国文化	10　いつか日本に行きたいです	13　言語と文化
103	～ていく／くる 	V‐ていきます	時間的前後	私はお寿司を作っていきます。	初級1(りかい)	6　外で食べる	11　何を持っていきますか	9　食生活
104	～てくる	V‐てきます	時間的前後	私はお寿司を作ってきました。	初級1(りかい)	6　外で食べる	11　何を持っていきますか	9　食生活
105	【疑問詞】＋でも	なん／いつ／どこ ／いくつ＋でも 	逆接･譲歩	くだものは何でも好きです。	初級1(りかい)	6　外で食べる	11　何を持っていきますか	9　食生活
106	～と～（と）どちらが～	N1とN2（と）どちらがいいですか	決定	飲み物はお茶とジュースとどちらがいいですか。	初級1(りかい)	6　外で食べる	11　何を持っていきますか	9　食生活
107	～がいい	Nがいいです	決定	私はお茶がいいです。	初級1(りかい)	6　外で食べる	11　何を持っていきますか	9　食生活
108	～そうだ	ナA‐／イA‐そうです	様子・状態	そのお寿司、おいしそうですね。	初級1(りかい)	6　外で食べる	12　おいしそうですね	9　食生活
109	～そうな～	ナA‐／イA‐そうなN	様子・状態	それ、便利そうなナイフですね。	初級1(りかい)	6　外で食べる	12　おいしそうですね	9　食生活
110	～くて／くなくて	イA‐くて／くなくて、～	並列・反復	温かくて、おいしいです。辛くなくて、おいしいです。	初級1(りかい)	6　外で食べる	12　おいしそうですね	9　食生活
111	～で／じゃなくて	ナA‐で／じゃなくて、～	並列・反復	新鮮で、おいしいです。苦手じゃなくて、よかったです。	初級1(りかい)	6　外で食べる	12　おいしそうですね	9　食生活
